id,selected,latitude,longitude,date,cacl2,smp,k,ca,p,al,mg
15,,-26.0985013,-50.7753045, 2018-06-30 16:57 ,5.4,6.53,0.44,0,24.99,,
14,,-26.0976187,-50.7752629, 2018-06-30 16:52 ,5.91,6.61,0.52,0,10.91,,
13,,-26.0976478,-50.7742772,  2018-06-30 16:48 ,5.43,6.21,0.57,0,32.97,,
12,,-26.0976275,-50.7732847, 2018-06-30 16:43 ,6.05,6.33,0.75,0,21.23,,
11,,-26.0967175,-50.7722855, 2018-06-30 16:38 ,6.52,6.78,0.83,0,24.84,,
10,,-26.0958623,-50.7723044, 2018-06-30 16:30 ,6.36,6.68,0.75,0,12.04,,
9,,-26.0967262,-50.7742699, 2018-06-30 16:24 ,5.44,6.1,0.49,0,18.06,,
8,,-26.0967485,-50.7753231, 2018-06-30 16:19 ,5.79,6.44,0.59,0,11.74,,
7,,-26.0967286,-50.7762829, 2018-06-30 16:15 ,6.02,6.92,0.7,0,10.01,,
6,,-26.0976548,-50.7763002, 2018-06-30 16:10 ,6.63,6.25,0.75,0,8.43,,
5,,-26.0976469,-50.7772884, 2018-06-30 16:04 ,5.88,6.24,0.85,0,7.98,,
4,,-26.0985579,-50.7773145, 2018-06-30 15:59 ,5.89,6.43,0.46,0,6.4,,
3,,-26.0985378,-50.7782902, 2018-06-30 15:51 ,5.91,6.15,1.03,0,4.89,,
2,,-26.0994355,-50.7782682, 2018-06-30 15:46 ,5.78,6.22,0.59,0, 6.40  		,,
1,,-26.0994129,-50.7772571, 2018-06-30 15:41 ,5.64,6.24,37.03,0,16.71,,
