id,selected,latitude,longitude,date,cacl2,smp,k,ca,p,al,mg
507,true,-26.0669717,-50.7316341, 2019-08-30 11:45 ,5.83,6.68,0.67,4.31,30.6,0,1.78
506,,-26.0661316,-50.7315595, 2019-08-30 11:42 ,5.89,6.77,0.61,3.99,16.14,0,1.42
505,true,-26.0660599,-50.7306432, 2019-08-30 11:39 ,4.97,6.02,0.62,3.62,13.52,0,1.24
504,true,-26.0652289,-50.7295637, 2019-08-30 11:36 ,6.17,6.61,0.69,4.63,21.81,0,1.69
503,true,-26.0633494,-50.7286128, 2019-08-30 11:31 ,5.54,6.43,0.55,4,8.43,0,1.55
502,true,-26.0642742,-50.7295783, 2019-08-30 11:26 ,5.63,6.39,0.46,4.45,16.2,0,1.68
501,true,-26.0651448,-50.7305726, 2019-08-30 11:22 ,5.67,6.23,0.63,4.08,8.57,0,1.78
27,,-26.0651777,-50.730585, 2018-07-20 11:26,5.61,6.63,0.59,4.06,46.62,0,1.66
26,,-26.0643105,-50.729588, 2018-07-20 11:21 ,5.71,6.62,0.53,4.74,14.57,0,1.88
25,,-26.0633513,-50.7285876, 2018-07-20 11:16,5.73,6.71,0.66,4.14,13.93,0,1.89
24,,-26.0651974,-50.7295567, 2018-07-20 11:10 ,5.27,6.37,0.54,4.01,15.01,0,1.62
23,,-26.0660787,-50.7305974, 2018-07-20 11:04 ,4.79,6.04,0.31,3.27,14.27,0.5,1.22
22,,-26.0661053,-50.731589, 2018-07-20 10:59 ,5.11,6.26,0.42,3.68,14.14,0,1.61
21,,-26.0669685,-50.7316141, 2018-07-20 10:48  ,5.25,6.37,0.59,4.02,8.39,0,1.61
