id,selected,latitude,longitude,date,cacl2,smp,k,ca,p,al,mg
4633,,-26.0994288,-50.777607, 2019-07-31 12:01 ,4.64,5.29,0.59,0,37.03,,
464,true,-26.099415,-50.7770042, 2019-07-31 13:02 ,5.12,6.24,0.76,3.95,13.22,0,1.16
463,true,-26.0994288,-50.777607, 2019-07-31 12:01 ,4.39,5.86,0.28,3.14,7.83,0.7,1.19
462,,-26.0999087,-50.7775837, 2019-07-31 11:59 ,6.16,6.74,0.57,0,25.74,,
461,,-26.099873,-50.7781511, 2019-07-31 11:56 ,5.48,6.11,0.59,0,10.54,,
460,,-26.0999044,-50.7787224, 2019-07-31 11:53 ,6.11,6.41,0.77,0,3.39,,
459,,-26.0983977,-50.7781509, 2019-07-31 11:48 ,6.26,6.69,0.67,0,10.39,,
458,,-26.0968445,-50.7758478, 2019-07-31 11:38 ,5.99,6.64,0.65,0,26.87,,
457,,-26.0968462,-50.776447, 2019-07-31 11:35,5.73,6.47,0.41,0,7.38,,
456,,-26.0973108,-50.7770356, 2019-07-31 11:32,5.59,5.98,0.59,0,11.44,,
455,,-26.0978466,-50.7775462, 2019-07-31 11:29 ,0,0,0,0,0,,
454,,-26.0978749,-50.7781738, 2019-07-31 11:26 ,6.42,6.85,0.52,0,7.45,,
453,,-26.0983666,-50.7787098, 2019-07-31 11:22 ,6,6.51,0.85,0,5.72,,
452,,-26.0988859,-50.7781416, 2019-07-31 11:16 ,5.42,5.97,0.49,0,15.35,,
451,,-26.0988859,-50.7781416, 2019-07-31 11:16 ,5.23,5.7,0.54,0,5.5,,
450,true,-26.0993953,-50.7781489, 2019-07-31 11:12 ,4.89,6.05,0.45,3.66,3.62,0.2,1.32
449,,-26.0988865,-50.7776146, 2019-07-31 11:07 ,5.84,6.47,0.46,0,4.07,,
448,,-26.0983446,-50.7775723, 2019-07-31 11:04 ,5.26,5.99,0.52,0,3.54,,
447,,-26.0978752,-50.7770106, 2019-07-31 11:00 ,5.99,6.47,0.59,0,4.07,,
446,,-26.0967781,-50.7752948, 2019-07-31 10:51 ,6.09,6.02,0.52,0,8.21,,
445,,-26.0967781,-50.7752948, 2019-07-31 10:51 ,5.53,6.28,0.46,0,10.61,,
444,,-26.096815,-50.7747474, 2019-07-31 10:45 ,5.1,5.5,0.28,0,9.64,,
443,,-26.0973411,-50.7758319, 2019-07-31 10:40 ,6.18,6.77,0.57,0,7.75,,
